age,education_level,occupation,years_of_experience,hours_per_week,gender,country,industry,salary
42,Master's,HR Specialist,11.4,40.1,Male,Germany,Retail,112473.46
41,High School,Mechanical Engineer,7.8,38.2,Male,Germany,Technology,117914.87
40,Bachelor's,Software Engineer,3.3,22.5,Male,Canada,Education,107568.88
40,Bachelor's,Marketing Manager,7.9,37.6,Female,Germany,Technology,156123.28
31,Master's,Product Manager,5.3,51.0,Male,USA,Retail,187600.98
43,Bachelor's,Financial Analyst,9.7,31.4,Other,India,Retail,45876.94
45,High School,Product Manager,14.2,46.5,Female,Germany,Finance,134329.56
61,PhD,Customer Support,25.8,35.3,Male,USA,Technology,226483.3
43,Master's,Software Engineer,16.1,47.6,Female,Canada,Technology,222969.31
22,High School,Product Manager,4.0,51.7,Female,Australia,Healthcare,142094.94
18,PhD,Sales Executive,0.0,44.9,Female,UK,Technology,216832.34
31,Bachelor's,Sales Executive,7.8,42.7,Male,Canada,Education,94094.41
40,Bachelor's,Marketing Manager,6.9,43.1,Female,Canada,Finance,165073.53
23,High School,Marketing Manager,5.0,42.8,Female,Canada,Technology,133823.41
30,High School,Customer Support,4.7,44.4,Male,UK,Technology,108244.76
57,Bachelor's,Mechanical Engineer,18.9,,Female,USA,Retail,139645.39
40,PhD,Product Manager,10.7,26.6,Male,USA,Healthcare,254558.61
38,High School,HR Specialist,19.9,51.9,Female,Germany,Retail,71490.78
57,Bachelor's,Product Manager,11.7,35.8,Female,Germany,Retail,127155.64
37,Master's,Software Engineer,10.4,42.2,Female,UK,Retail,137289.99
27,Master's,Sales Executive,1.8,36.2,Female,India,Technology,63298.62
49,High School,Operations Manager,19.0,48.5,Female,USA,Retail,94258.46
21,High School,HR Specialist,2.2,44.1,Male,UK,Healthcare,103154.56
43,Master's,Mechanical Engineer,13.7,48.8,Male,USA,Healthcare,238067.88
36,Bachelor's,Customer Support,1.3,31.4,Male,UK,Technology,123376.06
42,Bachelor's,Financial Analyst,4.5,34.9,Other,Germany,Healthcare,127065.38
40,Master's,Software Engineer,14.3,39.9,Male,Germany,Healthcare,219879.8
52,High School,HR Specialist,18.6,44.6,Female,Germany,Technology,117134.73
59,PhD,Marketing Manager,26.7,35.2,Female,UK,Finance,209441.32
45,Master's,Mechanical Engineer,13.9,32.8,Male,India,Finance,78753.39
46,High School,Financial Analyst,12.2,31.0,Female,UK,Finance,117288.74
43,Master's,Software Engineer,25.0,40.7,Male,UK,Retail,150317.8
22,Master's,Sales Executive,4.0,60.5,Male,India,Finance,60278.3
33,High School,Software Engineer,11.9,37.7,Other,Canada,Education,93593.61
38,Bachelor's,Product Manager,7.4,41.1,Male,India,Finance,66478.24
43,Bachelor's,Operations Manager,16.0,41.1,Male,Australia,Technology,174168.65
25,PhD,Product Manager,7.0,35.7,Female,UK,Retail,202485.93
26,High School,HR Specialist,4.9,39.8,Other,Germany,Retail,67295.24
32,Bachelor's,HR Specialist,11.4,55.1,Female,India,Retail,37804.03
52,Bachelor's,Software Engineer,11.3,57.5,Female,India,Technology,77392.87
41,Master's,Data Analyst,15.2,33.7,Female,UK,Manufacturing,155349.44
49,Master's,Data Analyst,17.3,42.9,Male,India,Manufacturing,59319.53
32,High School,HR Specialist,10.4,46.2,Male,USA,Manufacturing,103340.41
38,Bachelor's,Mechanical Engineer,12.0,27.7,Female,Australia,Manufacturing,108228.14
45,Master's,Sales Executive,9.1,52.4,Male,UK,Healthcare,170050.59
41,PhD,Sales Executive,11.0,35.2,Male,Canada,Technology,201160.74
23,PhD,Customer Support,3.6,56.5,Other,USA,Finance,228891.46
38,Master's,Mechanical Engineer,10.3,38.2,Male,UK,Manufacturing,150817.81
49,PhD,Customer Support,13.6,28.1,Female,UK,Manufacturing,156602.56
52,High School,Sales Executive,13.5,41.8,Male,Canada,Education,70096.34
41,Master's,Customer Support,8.2,30.4,Female,Australia,Manufacturing,113259.56
38,PhD,HR Specialist,13.9,48.7,Male,USA,Technology,230938.97
33,Bachelor's,Financial Analyst,14.9,53.5,Female,India,Education,44691.32
59,Bachelor's,Marketing Manager,17.3,25.0,Female,Canada,Manufacturing,118147.26
41,Bachelor's,Marketing Manager,19.0,29.9,Male,UK,Manufacturing,138750.87
36,Bachelor's,Customer Support,11.6,47.6,Female,Germany,Manufacturing,103096.88
37,Master's,Software Engineer,8.4,53.0,Male,UK,Healthcare,188797.06
31,High School,Software Engineer,6.9,44.7,Female,UK,Manufacturing,124365.8
53,Master's,Sales Executive,19.9,39.5,Male,UK,Manufacturing,128281.29
24,Master's,Data Analyst,5.1,35.4,Female,India,Education,46447.85
39,Master's,Financial Analyst,16.7,45.3,Female,Germany,Manufacturing,172616.29
49,PhD,Data Analyst,17.6,50.5,Male,UK,Healthcare,188778.17
35,Bachelor's,Mechanical Engineer,11.4,39.9,Female,USA,Manufacturing,151309.52
36,Master's,Software Engineer,14.7,39.7,Other,Germany,Finance,170288.73
49,High School,Sales Executive,9.7,24.6,Female,UK,Education,83715.21
28,Master's,Customer Support,7.2,41.5,Female,India,Manufacturing,52687.76
32,High School,HR Specialist,3.8,55.5,Male,Australia,Finance,134500.85
34,Bachelor's,Operations Manager,4.7,46.1,Male,Australia,Healthcare,151818.99
46,Master's,Marketing Manager,11.5,37.6,Female,India,Retail,48907.75
31,Master's,Mechanical Engineer,0.0,45.2,Female,UK,Retail,114830.58
36,Bachelor's,Customer Support,5.2,35.8,Female,USA,Education,104798.48
30,Master's,Marketing Manager,4.6,24.6,Female,India,Retail,47798.91
61,Master's,Software Engineer,25.6,25.9,Male,Canada,Finance,219283.37
23,Bachelor's,Financial Analyst,4.9,30.8,Male,Australia,Education,112250.44
31,High School,Mechanical Engineer,4.6,22.0,Other,Australia,Finance,113058.93
45,High School,Financial Analyst,14.1,36.2,Female,USA,Finance,144053.31
58,Bachelor's,HR Specialist,26.5,37.5,Male,USA,Retail,116423.48
33,Bachelor's,Financial Analyst,6.3,32.9,Female,UK,Healthcare,151157.52
36,High School,Product Manager,7.4,30.8,Female,Canada,Technology,135765.61
37,Bachelor's,Sales Executive,5.4,46.6,Female,Canada,Finance,139457.18
41,PhD,Sales Executive,9.1,42.7,Female,Germany,Healthcare,172576.85
32,High School,HR Specialist,9.4,37.4,Female,Australia,Retail,73993.53
46,Master's,Mechanical Engineer,7.2,25.7,Male,Australia,Technology,164767.83
38,High School,Software Engineer,16.7,47.5,Male,UK,Healthcare,106287.84
19,Master's,Operations Manager,0.0,44.7,Female,Canada,Education,104143.24
39,High School,Software Engineer,11.5,49.8,Male,Canada,Education,97113.49
37,Master's,Financial Analyst,16.9,52.3,Male,Canada,Retail,144573.36
51,Master's,HR Specialist,24.5,32.6,Male,India,Education,43699.17
45,High School,Data Analyst,14.4,40.4,Female,Canada,Retail,87635.37
55,PhD,Mechanical Engineer,20.9,51.6,Male,USA,Education,195675.27
34,High School,Marketing Manager,6.1,42.4,Female,Germany,Technology,130455.83
30,Master's,Operations Manager,8.6,33.9,Female,UK,Education,103279.25
25,Master's,Software Engineer,0.0,38.5,Female,Australia,Technology,196575.03
18,PhD,Software Engineer,0.0,36.3,Male,India,Manufacturing,71320.39
42,Bachelor's,Marketing Manager,12.1,35.6,Other,USA,Technology,193566.95
29,Bachelor's,Mechanical Engineer,0.0,41.1,Male,Germany,Manufacturing,104758.19
63,High School,Sales Executive,18.1,53.1,Male,India,Education,25617.62
26,High School,Product Manager,4.8,40.8,Male,Australia,Finance,141784.28
34,High School,Data Analyst,7.7,39.9,Female,UK,Healthcare,121162.78
63,Bachelor's,HR Specialist,23.1,46.0,Male,India,Healthcare,50527.91
46,Master's,Marketing Manager,10.2,28.5,Male,India,Technology,69683.44
41,Bachelor's,Data Analyst,6.5,43.8,Male,India,Healthcare,59824.22
